business_id,name,category,stars,text
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,So happy I found a bomb local sushi place!! Always ignored this shop going to domino's but I'm so glad I popped in. Will be coming here more than I should from now on. I got this sushiya roll and I was more than pleased! The salmon tasted fresh and the miso was on point. 10/10 recommend this spot.
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,Great combination of Japanese and Korean food. The Sushiya roll and the curry kutsu are my favorite in the menu! Everything I've tried so far tastes fresh and flavorful. For sure my go-to Asian spot in IV
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"I'm writing this review solely based on the fact that I am sitting here at 2 am on a Sunday night craving Sushiya (mind you, I graduated two years ago). I just love their IV roll & miso soup SO much! It's not your best quality sushi restaurant by any means, but it is damn good."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,"Surprisingly good, bit expensive though. California Roll was mediocre however the Spicy Tuna Roll, Crunch Roll, Shrimp and Hamachi were pretty good."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"Love this place! Aside from all the sushi rolls, they have a great variety of Japanese dishes as well. The monkey ball is a must try!!! The sushi is really fresh. Honestly, a gem of IV:) they deliver through SBmenus as well so that's a plus"
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,"Inspect your food before you put it in your mouth! Ordered the Spicy Tuna Roll last night and am now battling the worst case of food poisoning the world has ever known - think projectile vomiting- . The tuna was mushy and the color was too dark, like it had been sitting out at room temperature all day. This place needs to be inspected. Avoid this place."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,"Indeed I've had better. The only thing that keeps having me come back is their ""Heart Attack"" appetizer. Hooray for heart burn! **sarcasm**"
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"If you are looking for high quality and affordable sushi. you can not beat Sushiya. The place recently changed owners and the new owners are doing an amazing job! it is a family run store and they are working hard to turn this place around. 

I have been there 3 times this week, every time I try something different and it is all very good. The company I work for is about to use them to do our catering. 

Hard working owners, fresh fish, well priced. If you live in IV or Goleta it is a no brainer. If you live in Santa Barbara it is worth the trip."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,I'm a  student and UCSB  and have noticed that this place was here when new owners took over last year. The menu has a lot of creative dishes that I still want to try. The 2 sushi plates that I have tried are Superb. The cashier is a student. She was nice and helpful. The place was very clean. The decorations and atmosphere were calming. Definitely returning soon.
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,"The one and only sushi place to get your sushi fix in IV. I've been here a handful of times when I've been too lazy to go to Sushi Ahi at the Marketplace. It's never crazy busy and you get your order within 15 min if there's no one else around which seems a bit much, but I have enough patience to wait.
I'm not THAT adventurous when it comes to sushi, but I have to say their california rolls are pretty good.The cost of the sushi itself is a bit pricey for the quality, and sometimes quantity, that you get. I mean I got 2 mini hand rolls for 4 dollars when I could have gotten 2 large hand rolls for 6 dollars at the Marketplace. 
Bottom line: a good place to go when you are attacked by that sushi craving."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,The beef Bento box was great! Beef was tender and delicious.  I was satisfied by the quality of everything else on the plate as well.  Definitely food for 2.
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,"Not really as bad as people say.
I come here a lot because it somewhat satisfies my constant cravings for Japanese food without having to commute all the way to state street or goleta.

While the place does seem a little sketchy, the rolls are pretty solid. The hungry roll is huge (and not to mention deep fried). It's good, unique, and filling and comes with miso soup (so yummy) and salad!
The kiss dragon roll was pretty good as well.

I tried the sashimi dinner plate today and it was a little sketch. Only the salmon and tuna tasted legit while the other fish didn't taste as fresh. I don't think this is the best place to come for raw fish (or ramen for that matter; the ramen is basically ramen noodles placed in a generic udon broth). 

Order the chicken katsu plate or sesame chicken but keep in mind that the portions aren't exactly worth the price you pay in terms of the entrees and sashimi. 

However, if you are looking for a decent Japanese place, come here for the specialty rolls! Their lunch happy hour is a pretty good deal too, so check that out. The only thing is that some of the dishes are way too expensive for the quantity they give. Other than that, I'd come back for the rolls!"
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"The boyfriend and I ordered an Alaskan roll and a Kalbi combo for lunch last weekend. When they delivered it, we realized they delivered a Bulgogi combo instead of the Kalbi. I called Sushiya to tell them they got the wrong order, and James (the manager) told me they'd send the correct order right away. He called us a few minutes later saying he'd include a coupon for our next order.

The sushi was yummy and the portion for the Korean food was very generous. We saved most of the Bulgogi and a little bit of the Kalbi as leftovers for our next meal. They also include Miso soup with meal, and if you use the coupon code, you get a free ice cream mochi! It was a little bit pricey (lunch + delivery was about $30) but I think it's pretty worth it! I gave them the fourth star for really good customer service. Even though the delivery got messed up, we were impressed with how quickly they resolved everything and how well they handled the situation, and we would definitely come back here again!"
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"Had to give it a 5 star review to level out all the one star reviews. If there wasn't so many one star reviews I woulda gave them a 4-star. The only sushi place in Isla Vista that I know of. They rolls are really good, they miso is super dank, and there staff is really friendly. Your order does take a lil time to make but they also deliver."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"This review is more for the experience than anything else. I was having a pretty bad day and was craving some inari sushi, something that I had really liked when I was younger but I wasn't sure if they had any. It was also my first time checking out sushiya, I had heard alot about how it wasn't good from a bunch of people, but seeing as it was the only sushi place around that might have inari sushi, I thought, why not?

 I walked in to where the lady was speaking with customers in what sounded like a mix of Japanese and Korean (I also noted that they offered a bunch of Korean dishes as well - to be tried next time), but I didn't want to interrupt so I just stood near the entrance and tried to see whether or not it was on the menu. She noticed me standing there after a little bit and immediately went to the cash register to help, so I asked if they had any of that sweetly savory goodness and she said ""of course!"". The price was a little more than what I expected, but... it was a bad day, so I decided on getting them for the price of 4.50 for 2 pieces.

As she charged me for them she asked me how my day was going, of course I answered ""good""; standard etiquette I presumed. Then after a short pause she asked me if school was going okay, I blustered a little saying ""yeah it was going fine"" with a slight nervous laugh. I could tell she noticed I was a little caught off guard, she gave me a sympathetic smile and nodded. 

After the exchange I went to sit at one of the high tables with stools to wait for my order, which after a 5 min wait, came. I left sushiya, thanking the lady. A few steps out I opened the to-go box, inside were the two inari sushi, some pickled ginger and a pearl of wasabi. But it was perhaps the best inari sushi I've had, they had added seaweed salad inside the fried marinated tofu skin wrapping the sushi rice, giving the sushi an entirely new texture sensation, accentuated umami and sweetness, as well as temperature contrast with the warmth of the rice. Add a few slices of the pickled ginger and there was a slight heat to the entire mouthful, enhancing the overall taste. 

But apart from how good the sushi was, I was most thankful for the lady's kindness and concern. It's not every day where someone you literally just met would go beyond social expectations and try to extend some care to a complete stranger. I know that inari sushi isn't exactly the most expensive sushi they have, as well as the fact that I didn't have any of their fish, but regardless, I'm hoping you all would give sushiya a second chance despite what your friends might be saying or the reviews here are saying. 

If not for stellar food (where can you even find that in IV?), Then how about for the experience and good service? For me, I know I'll be going back to try out the other items on the menu and to thank her for her kindness."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,"Japanese food....not at its best. ITs ""fast food"" that takes some time. Their food is somewhat greasy, such as the crazy roll, or somethign that deals with spice. For some reason the spicy sauce is oily and leaves a bad after taste.

But i do recommend their udon,. Its at a good price and it can't go wrong. Pair that with spicy tuna (doesn't use the sauce mentioned above)"
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,"I come here for the lunch special: small salad, miso soup, soda, choice of 6 rolls (crunchy, California or one other option) and choice of rice bowl with like chicken, beef, tempura, etc. (they have 10 different bowl options in total I think). The lunch special is only $11 after tax and it's super reasonable (I usually split the meal with someone). The chicken katsu and the gyoza are my usually choices for the rice-meat bowl that they serve with the lunch special.

Quality here wavers, some days its better than others and I wish I could rate Sushiya 3.5 overall. But you get what you pay for; most rolls cost between $9 and $13. They also offer mochi as dessert (at a dollar each; which is ridiculous).

But yea, lunch special great! Everything else, meh."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"For it being what it is (a restaurant that caters towards college students, and a ""fast-food"" sushi joint), it's not bad. Their salmon is wonderful, they have Sushiya Combos that gives you the best bang for your buck (rice entree, miso soup, + 6piece roll for 12.95), and their current deal with all their Classic Rolls for $4.99 is great! Definitely satisfies my sushi cravings while being an IV resident!"
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,"For $13 I ordered a chicken plate that came with one orange slice, the slightest bit of salad and chicken and no rice (even though it's meant to be included)"
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,Used to come here cause it was cheap and relatively good... Not anymore. They raised their prices and the quality of food has gone down drastically.
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,Tried to sit outside but the speakers are blown and blasting static. I spent $18 on a   spider roll and an eel avocado roll. The spider roll came with miso soup and salad. Lots of food but none of it that good.
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,Best food in IV!!!! Quality food and always consistent. My favorite are the kalbi and baby baked lobster roll. So good!
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"The new owners are excellent cooks, making authentic homestyle Korean dishes, in addition to Japanese food. We ordered soft tofu stew and asked for no spice because my mom has acid reflux. They accomodated no problem. The food was fresh, portions were large, service was prompt and like previous reviewers have noted, the staff are super friendly. Also, bathroom was clean. The restaurant is simple but the spotlight is the tasty food and friendly service. Our family will definitely come back again."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,"I got the dragon roll for my order and thought it was ok but not great. Wasn't really expecting too much. There were somewhat a lot of bones in the eel. Overall decent, would go back again if I want quick sushi. But the miso soup that came with the roll was very bland! Really watered down"
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"After a hiatus of about a year or two, I have revisited Sushiya.  Although the food was probably barely edible as usual, I didn't care because I was wasted.

C'mon people, this place isn't popular because of its food quality.  It's popular because it has an ideal location and the Bruce the Emperor and his collection of incompetent workers don't complain when you bring your own booze.  That's right, we show up with a 30 pack, a couple bottles of sake, and good people.  We always have an amazing time.

You can find me at the big table in the back left corner in groups of no less than 10 people."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,"This restaurant has really really bad service, and cooking very slowly, also very expensive, if you are not fking rich, I recommend you better not come."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"I've been here twice and I've found both experiences to be very pleasant. The food prices are roughly what you would expect in IV and the staff have been very friendly to me. The food itself was not amazing, but I wasn't too disappointed. I also enjoyed the fact that they hired college students.

Overall, I didn't share some of the negative sentiments of other reviews and I think it's worth a try to decide for yourself."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,So nasty. The food is like...the crappiest sushi could be. I came because I was enticed by how cheap it was but omg. I couldn't eat more than one piece because it was so gross. I'm surprised it didn't get me sick. Don't do it!!!! Go anywhere else. Repulsion is imminent.
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"The food is decent, they have a wide variety so you can always find something that you want. The price isn't too bad I definitely get full off the special rolls. You can get sushi better somewhere else, it is IV and you should go downtown SB to get more quality sushi. The service is kind of slow sometimes and if you order over the fone, I would make sure you specify what you want.

They have japanese dumplings that are pretty good. I love the miso soup and you can't go wrong w/ that. They have a fried chicken or something I forget the name but it's gross! They have good edamame. The tiger roll and the tempura isn't bad either.

The location of the place is great though, smack in the middle. Parking can suck only because the lot is so small but there is plenty other places around. Just never park there if you do not plan on going to any of the places around. 

One guy was going to give me a ticket because I used their parking. Might I add the lot was completely empty! The guys' from dominos are on a power trip. I mean come on it's IV no one cares about anything...unlike these guys'."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,"We used to go here weekly. Last time I ordered takeout, there was a loooong hair in my roll. It grossed me and I haven't been back since."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,"It's not that great, but it's the only sushi place in IV. Generous portions of decent sushi plus miso and salad. The fish is not that fresh, but hey it's a quick fix for sushi cravings, walking distance, for those in IV. 

I'll come here because I'm too lazy to drive somewhere else when I live within 5 minutes of this place."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"Recently under new ownership and the food and service are amazing! We had mixed tempura, a crunch red fox roll, yellowtail sashimi, kalbi, and tonkatsu ramen. I'm always on the search for a great ramen and this place has it! All of it was delicious and our kids even loved everything (they are tough critics!). The ladies working were very friendly and knowledgeable about the menu. Great food, great service...anytime we are in the area or driving through, we will definitely stop here!"
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"My old review was from the old ownership. The new owners have turned this place around and it is now very good. They use the best quality beef in their Beef Bento Box.

The new people serving are pleasant and professional. I usually deal with Leanne who is very helpful. And the music is no longer annoying!

I definitely recommend this place if you are anywhere around Goleta or UCSB!"
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,negative,"Even though this is a Japanese restaurant, this place is pretty Greek.

OK folks, don't choke on your water laughing now.

I was visiting my little bro in IV when we decided to walk around. We settled on this joint and let me tell you, food quality definitely correlates with price. Our rolls (we got a combo plate for the three of us) were crumbling, they were so loosely packed. The fish, although edible, was not particularly fresh either. 

The green salad had a delicious ginger dressing, however. The tempura green tea ice cream had good ice cream and nasty tembura coating- it tasted like a flavorless, dry donut. 

I'm oscillating between 2 and 3 stars on this one. It wasn't very good, but I did finish it all, save the nasty tempura batter."
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"I have no complaints for Sushiya. We came in two days in a row! The sushi tastes fresh and they have a good selection of yummy Korean dishes, on top of the friendly service. I had the kimchi stew and it was great, it felt homey. I'm pretty particular with my Asian foods but Sushiya certainly has my approval. :)"
DzpaiMQnB_sNhZPrgdvKHg,Sushiya Express,Japanese,positive,"It has been a long time since the last time I  visited Sushiya, but since they have a new owner and new menus I've decided to try this place out once more. My experience : not bad at all! The interior is pretty clean, and I like how the new menus on the wall show the pictures of each dish, looks very appetizing.

Tempura spicy tuna roll: The tempura batter is very crunchy and not overly oily. The spicy tuna itself is slightly bland but I guess you cannot expect too much tastes from regular tuna (it can definitely use a bit more spiciness, though). And it is very filling as I felt full before I finished it. It came with miso soup but no salad like in the past, but that's understandable because now the menus items are more reasonably priced.

Escolar sushi: this is the main reason I'm here because I have never tried this before and have never seen this on the menus of other sushi restaurants in SB area. Escolar is a very oily fish so it's also called oilfish. I realized how fitting this name is as soon as I took my first bite: it has a taste exactly like cream! Very unique. (If you are interested in trying this out, do not eat too much though, since the oil cannot be digested.)

Overall, I was satisfied with my meal and I wish to come back at some time to try their other dishes (i.e. soft tofu soup)."
